target,target_display,train_cv_gap,cv_mape_percent,cv_r2
VCD,VCD,0.14523400000000009,27.49195111184346,0.800688
Via,Via,0.06668800000000008,17.958021033143535,0.888438
Dim,Dim,0.28062299999999996,2.8350492659255386,0.610881
eHA,eHA,0.28326799999999996,53.53609275506018,0.472255
tHA,tHA,0.272381,24.95844626880058,0.691348
Glc,Glc,0.011959000000000053,9.187917514648058,0.965483
Gln,Gln,0.03141700000000003,20.415832309277558,0.963059
NH4,NH4,0.283512,17.33587164271531,0.661288
