Target,Route,Weighting,CV n,CV RMSE,CV R2,CV MAE,CV bias
Via,V4 bounded-logit + process-time SelectSVR,none,91,4.8125,0.9682,3.0638,0.4631
Via,V5 coarse inverse-frequency weighted V4,three broad Via strata inverse-frequency weights,91,4.868,0.9675,3.1039,0.4628
