target,step,module,model_head,candidate,n_components,cv_n,cv_rmse,cv_mae,cv_bias,cv_r2,cv_spearman_r,cv_rounded_within_1_step_pct,cv_rounded_over_1_step_pct,cv_tolerance_loss,cv_step_mse,cv_step_mae,cv_low_n,cv_low_rmse,first_n,process_weight,logistic_c,pooling
eHA,B0,Model baseline,PLSR,eHA_B0_PLSR_full_d1_n3,3,49,1.7810628156316315,1.4319319493509404,-0.13353299943181154,0.47225501714974727,0.7138801335079098,57.14285714285714,42.857142857142854,1.2602040816326532,3.163265306122449,1.4081632653061225,30,1.6913542574502882,,,,
eHA,T0,process-time-only + HA-aware readout,ordinal-threshold probability,eHA_T0_first15_pls0_ptime1_C0p3_poolprob_mean_processonly,0,46,1.7569736827110218,1.434782608695652,-0.13043478260869565,0.4699772801038623,0.7185452620524658,63.04347826086957,36.95652173913043,1.2195652173913043,3.0869565217391304,1.434782608695652,27,1.6777409856157222,15.0,1.0,0.3,prob_mean
eHA,T0,process-time-only + HA-aware readout,ordinal-threshold probability,eHA_T0_first15_pls0_ptime1_C3_poolprob_mean_processonly,0,46,1.7693034738587656,1.434782608695652,-0.13043478260869565,0.46251217137293077,0.713946702945845,60.86956521739131,39.130434782608695,1.243478260869565,3.130434782608696,1.434782608695652,27,1.7105338131489614,15.0,1.0,3.0,prob_mean
eHA,T0,process-time-only + HA-aware readout,ordinal-threshold probability,eHA_T0_first15_pls0_ptime1_C1_poolprob_mean_processonly,0,46,1.7754362599213407,1.4565217391304348,-0.10869565217391304,0.45877961700746506,0.7124103744896338,60.86956521739131,39.130434782608695,1.244565217391304,3.152173913043478,1.4565217391304348,27,1.7213259316477407,15.0,1.0,1.0,prob_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls8_ptime0_C3_poolstep_mean,8,46,1.034618182040455,0.8304347826086957,-0.13478260869565215,0.8162090230444661,0.9186264962820222,89.13043478260869,10.869565217391305,0.22934782608695653,1.108695652173913,0.8043478260869565,27,1.0110500592068734,15.0,0.0,3.0,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls10_ptime0_C3_poolstep_mean,10,46,1.0677078252031311,0.8043478260869565,-0.20434782608695648,0.8042648490749756,0.9212264713854488,86.95652173913044,13.043478260869565,0.25000000000000006,1.0869565217391304,0.7391304347826086,27,1.1294049564064945,15.0,0.0,3.0,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls8_ptime0_C1_poolstep_mean,8,46,1.0533590163810744,0.834782608695652,-0.19130434782608696,0.8094904251866277,0.921370216417165,86.95652173913044,13.043478260869565,0.25326086956521743,1.1521739130434783,0.8043478260869565,27,1.0248757828977961,15.0,0.0,1.0,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls10_ptime0_C1_poolstep_mean,10,46,1.1068953840830433,0.8565217391304347,-0.2565217391304348,0.7896332359623499,0.9198589544670088,84.78260869565217,15.217391304347828,0.3489130434782609,1.326086956521739,0.8478260869565217,27,1.1508451001088047,15.0,0.0,1.0,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls6_ptime0_C1_poolstep_mean,6,46,1.1549515329563664,0.9217391304347828,-0.2608695652173913,0.770970464135021,0.8947037436730627,78.26086956521739,21.73913043478261,0.35217391304347834,1.391304347826087,0.8695652173913043,27,1.0994948334980428,15.0,0.0,1.0,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls6_ptime0_C3_poolstep_mean,6,46,1.1108163860324805,0.8652173913043476,-0.21304347826086953,0.7881402142161635,0.9067231429322312,78.26086956521739,21.73913043478261,0.35217391304347834,1.391304347826087,0.8695652173913043,27,1.1062114190803238,15.0,0.0,3.0,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls8_ptime0_C0p3_poolstep_mean,8,46,1.1424611115063599,0.9260869565217393,-0.25652173913043474,0.775897435897436,0.9099931215177214,82.6086956521739,17.391304347826086,0.3760869565217391,1.434782608695652,0.9130434782608695,27,1.0498677165349082,15.0,0.0,0.3,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls10_ptime0_C0p3_poolstep_mean,10,46,1.1762135269029876,0.917391304347826,-0.3260869565217391,0.7624602401817591,0.9070879446596267,80.43478260869566,19.565217391304348,0.4010869565217392,1.5,0.9347826086956522,27,1.1585431464655176,15.0,0.0,0.3,step_mean
eHA,P0,Probability baseline,ordinal-threshold probability,eHA_P0_first15_pls6_ptime0_C0p3_poolstep_mean,6,46,1.266628527267153,1.0391304347826085,-0.33478260869565224,0.724537487828627,0.8862291591996669,76.08695652173914,23.91304347826087,0.45217391304347837,1.6521739130434783,1.0,27,1.1617356108984649,15.0,0.0,0.3,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime0p25_C1_poolstep_mean,8,46,0.9943317616238119,0.8130434782608696,-0.23043478260869568,0.8302434274586172,0.9310750904006705,86.95652173913044,13.043478260869565,0.18152173913043482,1.0217391304347827,0.7608695652173914,27,0.9820613241770824,15.0,0.25,1.0,step_mean
eHA,P1,P0 + process-time descriptors,ordinal-threshold probability,eHA_P1_first15_pls8_ptime0p5_C3_poolstep_mean,8,46,1.019377474139295,0.7956521739130433,-0.19565217391304351,0.8215839013307367,0.9177135489213536,86.95652173913044,13.043478260869565,0.18152173913043484,1.0217391304347827,0.7608695652173914,27,1.0406550643527197,15.0,0.5,3.0,step_mean
